device_id,hostname_y,datetime,Jam,Hari,type_x,severity,hardware,message,os
48,10.246.88.18,2026-06-07 10:03:14,10,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 10:03:14,10,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 10:03:14,10,Sunday,interface,3,,ifType:  -> ppp,vyos
48,10.246.88.18,2026-06-07 10:03:14,10,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
21,10.246.15.202,2026-06-07 10:14:03,10,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2500 rpm (< 2754.4 rpm),routeros
21,10.246.15.202,2026-06-07 10:29:06,10,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2699 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 10:33:17,10,Sunday,interface,3,,ifConnectorPresent:  -> true,vyos
48,10.246.88.18,2026-06-07 10:33:17,10,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 10:33:17,10,Sunday,interface,3,,ifAlias:  -> ppp1,vyos
48,10.246.88.18,2026-06-07 10:33:17,10,Sunday,interface,3,,ifAdminStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 10:33:17,10,Sunday,interface,3,,ifOperStatus:  -> up,vyos
48,10.246.88.18,2026-06-07 10:33:17,10,Sunday,interface,3,,ifMtu:  -> 1492,vyos
48,10.246.88.18,2026-06-07 10:33:17,10,Sunday,interface,3,,ifType:  -> ppp,vyos
21,10.246.15.202,2026-06-07 10:44:07,10,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2671 rpm (< 2754.4 rpm),routeros
21,10.246.15.202,2026-06-07 10:54:10,10,Sunday,fanspeed,4,CCR1016-12G,Fanspeed under threshold: 2561 rpm (< 2754.4 rpm),routeros
48,10.246.88.18,2026-06-07 11:08:20,11,Sunday,interface,3,,ifDescr:  -> ppp1,vyos
